83.53.87.57 - - [13/Oct/2019:09:11:15 +0200] "GET /static/assets/js/plugins/SmoothScroll/SmoothScroll.js HTTP/1.1" 200 4959 "https://intef.kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
83.53.87.57 - - [13/Oct/2019:09:11:15 +0200] "GET /static/assets/js/plugins/jqBootstrapValidation/jqBootstrapValidation.js HTTP/1.1" 200 7249 "https://intef.kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
83.53.87.57 - - [13/Oct/2019:09:11:15 +0200] "GET /static/assets/img/logos/MEFP.Gob.Web.jpg HTTP/1.1" 200 1043258 "https://intef.kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
83.53.87.57 - - [13/Oct/2019:09:11:15 +0200] "GET /static/assets/js/contact_me.js HTTP/1.1" 200 1332 "https://intef.kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
83.53.87.57 - - [13/Oct/2019:09:11:15 +0200] "GET /static/assets/js/spectrum.nav.js HTTP/1.1" 200 1043 "https://intef.kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
83.53.87.57 - - [13/Oct/2019:09:11:15 +0200] "GET /static/assets/js/plugins/isotope/isotope.pkgd.min.js HTTP/1.1" 200 10220 "https://intef.kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
83.53.87.57 - - [13/Oct/2019:09:11:15 +0200] "GET /static/assets/js/spectrum.js HTTP/1.1" 200 1782 "https://intef.kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
83.53.87.57 - - [13/Oct/2019:09:11:15 +0200] "GET /static/assets/img/portfolio/taller_google_campus.png HTTP/1.1" 200 47969 "https://intef.kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
83.53.87.57 - - [13/Oct/2019:09:11:15 +0200] "GET /static/assets/img/carrousel/websim-siguelinea.png HTTP/1.1" 200 164771 "https://intef.kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
83.53.87.57 - - [13/Oct/2019:09:11:15 +0200] "GET /static/assets/img/portfolio/sigue_linea_ir_index.png HTTP/1.1" 200 55914 "https://intef.kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
83.53.87.57 - - [13/Oct/2019:09:11:15 +0200] "GET /static/assets/img/portfolio/sigue_pelota_index.png HTTP/1.1" 200 131953 "https://intef.kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
83.53.87.57 - - [13/Oct/2019:09:11:15 +0200] "GET /static/assets/img/portfolio/choca_gira_index.png HTTP/1.1" 200 61136 "https://intef.kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
83.53.87.57 - - [13/Oct/2019:09:11:15 +0200] "GET /static/assets/img/portfolio/drone_cat_mouse_index.png HTTP/1.1" 200 233287 "https://intef.kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
83.53.87.57 - - [13/Oct/2019:09:11:15 +0200] "GET /static/assets/img/portfolio/sigue_linea_vision_index.png HTTP/1.1" 200 251385 "https://intef.kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
188.94.33.15 - - [13/Oct/2019:09:23:18 +0200] "GET / HTTP/1.1" 301 515 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/601.7.7"
77.75.79.11 - - [13/Oct/2019:09:29:00 +0200] "GET /robots.txt HTTP/1.1" 404 20163 "-" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
77.75.79.11 - - [13/Oct/2019:09:29:01 +0200] "GET /static/assets/img/portfolio/sigue_linea_ir_index.png HTTP/1.1" 200 59265 "-" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
37.134.202.38 - - [13/Oct/2019:09:30:02 +0200] "GET / HTTP/1.1" 200 13875 "-" "python-requests/2.12.4"
37.134.202.38 - - [13/Oct/2019:09:30:03 +0200] "\n" 400 3245 "-" "-"
37.134.202.38 - - [13/Oct/2019:09:30:03 +0200] "\n" 400 3245 "-" "-"
201.158.24.36 - - [13/Oct/2019:09:37:48 +0200] "GET / HTTP/1.1" 301 515 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
46.119.121.179 - - [13/Oct/2019:09:39:29 +0200] "GET / HTTP/1.1" 301 509 "https://www.grenadacitizenshipinvestment.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.2; Win64; AMD64)"
46.119.121.179 - - [13/Oct/2019:09:39:29 +0200] "GET / HTTP/1.1" 301 509 "https://zaimpodptsky.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
46.119.121.179 - - [13/Oct/2019:09:39:30 +0200] "GET / HTTP/1.1" 301 509 "https://www.grenadacitizenshipinvestment.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.2; Win64; AMD64)"
46.119.121.179 - - [13/Oct/2019:09:39:30 +0200] "GET / HTTP/1.1" 301 509 "https://zaimpodptsky.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
46.119.121.179 - - [13/Oct/2019:09:39:30 +0200] "GET / HTTP/1.1" 301 509 "https://www.grenadacitizenshipinvestment.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.2; Win64; AMD64)"
46.119.121.179 - - [13/Oct/2019:09:39:30 +0200] "GET / HTTP/1.1" 301 509 "https://zaimpodptsky.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
46.119.121.179 - - [13/Oct/2019:09:44:12 +0200] "GET / HTTP/1.1" 301 509 "https://www.translation-services-usa.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; .NET CLR 1.1.4322; Alexa Toolbar; (R1 1.5))"
46.119.121.179 - - [13/Oct/2019:09:44:12 +0200] "GET / HTTP/1.1" 301 509 "https://www.translation-services-usa.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; .NET CLR 1.1.4322; Alexa Toolbar; (R1 1.5))"
46.119.121.179 - - [13/Oct/2019:09:44:13 +0200] "GET / HTTP/1.1" 301 509 "https://www.translation-services-usa.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; .NET CLR 1.1.4322; Alexa Toolbar; (R1 1.5))"
186.226.37.205 - - [13/Oct/2019:09:49:58 +0200] "GET / HTTP/1.1" 301 515 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
